A,B
12,62
49,9
28,13
19,68
27,32
60,42
27,57
56,56
45,8
34,21
68,9
38,31
37,1
5,27
56,7
51,51
61,16
41,33
62,35
49,8
53,30
11,69
68,59
66,21
4,18
48,3
51,37
39,10
70,6
35,36
55,18
57,31
63,28
55,5
70,13
24,41
69,22
8,9
20,4
15,44
18,48
52,34
29,34
20,17
11,47
50,1
24,31
68,69
40,38
16,53
57,70
34,66
57,0
12,10
60,5
44,46
0,29
21,38
26,6
70,50
30,55
38,19
7,4
56,70
28,42
62,12
39,31
5,13
10,33
12,13
37,34
28,6
37,22
54,67
24,8
42,27
0,5
27,16
3,24
44,64
29,62
31,24
32,23
62,23
33,21
1,52
14,32
26,7
23,60
34,51
1,49
46,6
26,11
32,41
9,60
27,27
39,26
24,11
27,28
16,14
5,31
31,60
50,5
11,70
7,19
3,50
2,50
32,12
70,2
37,55
38,11
20,34
8,44
2,67
48,70
46,20
1,28
53,14
18,23
48,65
30,41
40,41
47,34
32,31
46,53
26,64
66,10
15,55
16,35
22,33
61,38
67,42
4,69
15,42
7,32
70,0
35,66
35,35
18,51
50,39
7,64
25,21
65,29
8,33
38,61
21,45
34,42
30,28
22,34
36,69
27,25
31,62
26,33
64,37
50,9
66,18
49,3
65,21
44,26
43,48
5,46
62,10
32,17
24,28
37,1
53,20
47,6
16,61
62,43
14,19
61,37
10,28
15,63
33,62
58,15
69,32
25,16
60,11
46,28
13,36
43,63
21,19
60,36
27,0
41,43
26,67
70,5
56,27
30,66
34,33
36,16
55,3
14,0
61,64
54,48
2,7
44,58
40,52
19,8
26,40
17,36
11,61
21,51
32,41
57,8
3,39
41,55
36,9
37,1
30,20
63,61
0,39
5,42
42,53
34,20
17,39
39,59
29,69
38,17
64,31
58,12
58,64
51,42
26,45
9,58
33,48
30,11
3,55
51,48
60,22
65,38
50,9
16,60
37,16
69,60
7,69
40,30
2,69
38,23
5,61
29,44
21,67
57,37
12,48
19,26
53,43
5,23
17,63
53,62
54,10
66,17
70,45
26,50
6,1
29,33
60,64
17,42
54,15
60,41
46,8
64,41
42,55
25,28
55,16
17,17
40,18
17,47
28,1
31,70
25,68
51,12
52,65
64,64
15,4
65,48
17,37
20,40
32,52
37,10
30,60
9,12
32,60
9,63
35,58
1,22
19,35
52,15
67,33
15,18
35,36
61,15
42,67
55,69
45,43
5,51
47,40
38,3
65,16
22,58
5,19
15,32
66,13
25,14
51,51
56,47
67,46
44,30
25,17
0,5
61,45
50,32
29,50
40,58
62,28
64,9
19,21
2,1
0,18
22,16
54,29
11,64
62,8
54,28
65,61
22,69
62,53
57,28
20,51
65,61
61,64
64,42
69,23
64,10
17,42
24,26
68,57
23,68
44,34
68,70
50,27
16,16
11,15
54,20
0,6
42,12
48,65
63,68
9,65
65,44
40,50
38,46
13,16
17,17
67,57
37,11
50,18
16,3
45,31
28,34
54,33
66,22
23,18
24,64
40,44
3,17
67,6
63,66
36,3
69,14
25,47
40,43
55,64
65,48
13,50
43,50
34,47
1,25
70,63
66,9
9,40
26,35
21,53
17,54
65,54
10,56
28,31
0,9
23,56
23,17
5,43
17,51
36,12
52,68
53,37
21,21
52,56
2,36
37,20
10,6
32,13
25,11
10,52
11,69
26,16
21,16
62,63
23,38
66,29
39,38
0,52
57,21
64,14
60,57
40,8
3,11
55,56
40,70
51,35
29,51
43,17
9,51
19,53
21,5
3,47
62,34
60,10
35,58
30,66
5,65
51,55
39,31
60,19
19,69
58,53
8,12
26,51
19,49
53,62
31,56
14,10
63,42
43,23
38,50
45,31
6,7
61,43
30,69
59,70
63,64
25,18
29,54
45,59
50,47
51,10
2,12
29,44
42,49
61,57
26,61
60,69
58,47
58,31
20,29
1,34
11,57
29,49
69,29
58,48
63,38
30,64
60,0
9,42
13,31
28,15
1,63
22,13
69,63
46,66
17,26
64,2
67,48
7,31
66,51
52,43
27,28
43,20
49,8
26,11
14,21
65,20
23,61
32,8
44,61
67,21
28,54
70,60
17,19
50,2
64,7
57,29
