A,B
14,63
8,31
65,13
11,56
58,35
30,39
58,21
14,37
58,6
44,1
24,17
32,42
49,5
40,46
44,34
16,58
46,2
2,17
37,54
28,7
3,53
6,19
37,65
24,67
4,58
23,22
54,34
68,62
60,25
1,46
65,19
63,14
68,2
16,32
49,9
2,5
11,54
41,38
36,63
60,1
51,39
5,38
58,24
51,31
46,4
38,21
45,16
18,7
48,45
0,63
48,1
64,62
50,65
32,28
36,51
44,5
40,13
54,36
42,17
48,5
49,14
19,3
3,45
58,28
11,12
53,42
22,41
32,52
19,24
67,6
59,51
25,32
47,59
28,68
63,2
33,19
8,54
44,1
14,41
16,5
27,9
19,57
45,1
55,1
35,57
25,8
46,1
44,54
11,36
11,43
1,37
41,34
66,64
43,49
54,2
7,39
59,52
64,44
38,25
4,16
23,28
60,4
19,34
8,29
20,46
25,47
22,15
42,25
58,66
48,17
5,45
63,4
1,69
24,2
31,11
17,2
29,4
56,1
12,25
28,39
5,34
66,27
24,62
57,33
28,44
46,1
37,33
70,34
23,49
4,69
50,33
50,9
46,7
45,65
33,27
31,17
24,22
8,38
17,43
6,7
42,25
46,52
3,27
28,21
18,55
37,15
1,32
6,9
32,33
40,33
20,12
65,47
61,33
46,18
7,17
15,17
55,67
5,39
11,45
43,1
56,24
54,64
36,7
16,8
55,65
70,33
0,19
13,13
27,59
0,11
21,34
65,52
23,36
64,12
39,54
55,41
45,45
36,21
36,42
28,35
43,23
64,4
38,54
37,5
37,53
24,27
41,66
68,68
12,35
5,2
33,46
37,1
26,61
41,21
41,18
51,1
36,51
57,35
55,65
48,12
